subject,start,end,location,organizer,attendeesCount,classification,confidence,classificationReasons
יום הזיכרון הבינלאומי לשואה,2026-01-27T00:00:00.0000000,2026-01-28T00:00:00.0000000,ישראל,/O=OEXCH024/OU=EXCHANGE ADMINISTRATIVE GROUP (FYDIBOHF23SPDLT)/CN=RECIPIENTS/CN=YORAM@GALIT,0,CALENDAR_NOISE,0.8,אירוע יום שלם עם שם חג — CALENDAR_NOISE | מארגן חיצוני (galit) — כנראה פגישה חיצונית
יום הזיכרון הבינלאומי לשואה,2026-01-27T00:00:00.0000000,2026-01-28T00:00:00.0000000,ישראל,/O=OEXCH024/OU=EXCHANGE ADMINISTRATIVE GROUP (FYDIBOHF23SPDLT)/CN=RECIPIENTS/CN=YORAM@GALIT,0,CALENDAR_NOISE,0.8,אירוע יום שלם עם שם חג — CALENDAR_NOISE | מארגן חיצוני (galit) — כנראה פגישה חיצונית
יום הזיכרון הבינלאומי לשואה,2026-01-27T00:00:00.0000000,2026-01-28T00:00:00.0000000,ישראל,yoram@galit.co.il,0,CALENDAR_NOISE,0.8,אירוע יום שלם עם שם חג — CALENDAR_NOISE
יום הזיכרון הבינלאומי לשואה,2026-01-27T00:00:00.0000000,2026-01-28T00:00:00.0000000,ישראל,yoram@galit.co.il,0,CALENDAR_NOISE,0.8,אירוע יום שלם עם שם חג — CALENDAR_NOISE
מעבר Dynamics 365 לענן,2026-01-27T11:00:00.0000000,2026-01-27T11:30:00.0000000,פגישה של Microsoft Teams,guy@1it.co.il,3,MEETING_OR_AUDIT,0.9,"online meeting (Teams/Zoom) → MEETING_OR_AUDIT | location מכיל ""Teams"" → MEETING_OR_AUDIT | מארגן חיצוני (1it.co.il) — כנראה פגישה חיצונית"
בדיקת קרינה חשמל+ סלולארי עבור חברת הדס,2026-01-27T14:15:00.0000000,2026-01-27T15:00:00.0000000,"אשר ברש 15 , הרצליה ",yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה חדר שנאים,2026-01-28T10:15:00.0000000,2026-01-28T11:15:00.0000000,הבוצר 12 תל מונד,yoram@galit.co.il,0,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
Gabbay Yoram <> Nova Strategica,2026-01-28T16:15:00.0000000,2026-01-28T16:45:00.0000000,https://meet.google.com/jje-fmyo-xjt,andrea.p@novastrategica.com,3,MEETING_OR_AUDIT,0.35,מארגן חיצוני (novastrategica.com) — כנראה פגישה חיצונית
Canceled: ראיון עבודה עוז ירושלמי תחום מיגון,2026-02-01T11:00:00.0000000,2026-02-01T11:30:00.0000000,"גלית - החברה לאיכות הסביבה בע""מ",Guy@galit.co.il,2,FIELD_TASK,0.7,אירוע מבוטל | מילות מפתח שטח ב-subject: מיגון
ראיון עבודה עמרי אביטל תחום מיגון,2026-02-01T11:00:00.0000000,2026-02-01T11:30:00.0000000,"גלית - החברה לאיכות הסביבה בע""מ",Guy@galit.co.il,2,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: מיגון
ראיון עבודה אבישי טיירי,2026-02-01T12:00:00.0000000,2026-02-01T12:30:00.0000000,משרד,uri@galit.co.il,2,MEETING_OR_AUDIT,0.35,
ראיון עבודה עוז ירושלמי תחום מיגון,2026-02-01T13:00:00.0000000,2026-02-01T13:30:00.0000000,"גלית - החברה לאיכות הסביבה בע""מ",Guy@galit.co.il,2,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: מיגון
ראיון עבודה דניאל בכר,2026-02-01T15:00:00.0000000,2026-02-01T16:00:00.0000000,משרד,uri@galit.co.il,2,MEETING_OR_AUDIT,0.35,
Yoram<>David,2026-02-01T15:45:00.0000000,2026-02-01T16:15:00.0000000,https://meet.google.com/ejh-aykz-raz,david.p@novastrategica.com,2,MEETING_OR_AUDIT,0.35,מארגן חיצוני (novastrategica.com) — כנראה פגישה חיצונית
ישיבה על אלסטום,2026-02-02T11:00:00.0000000,2026-02-02T12:00:00.0000000,"גלית - החברה לאיכות הסביבה בע""מ",yoram@galit.co.il,2,MEETING_OR_AUDIT,0.55,מילות מפתח פגישה ב-subject: ישיבה
סקר אסבסט,2026-02-02T12:30:00.0000000,2026-02-02T13:30:00.0000000,כפר נוער ימין אורד,uri@galit.co.il,2,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: סקר
ראיון עבודה אלכס בלבאי- אחראי תחום מיגון,2026-02-03T11:00:00.0000000,2026-02-03T11:30:00.0000000,"גלית - החברה לאיכות הסביבה בע""מ",Guy@galit.co.il,3,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: מיגון
ראיון עבודה,2026-02-03T12:00:00.0000000,2026-02-03T13:00:00.0000000,משרד,uri@galit.co.il,2,MEETING_OR_AUDIT,0.35,
פגישה עם מיכאל- קבלן משנה למיגון,2026-02-03T13:00:00.0000000,2026-02-03T14:00:00.0000000,"גלית - החברה לאיכות הסביבה בע""מ",Guy@galit.co.il,3,FIELD_TASK,0.55,מילות מפתח שטח ב-subject: מיגון | מילות מפתח פגישה ב-subject: פגישה
אלי דאום קונה ברזל ,2026-02-04T09:00:00.0000000,2026-02-04T10:00:00.0000000,משה שרת 70 רמות השבים,yoram@galit.co.il,1,FIELD_TASK,0.55,location מכיל דפוס רחוב+מספר+עיר
ישיבה עם אמירה נזאר ,2026-02-04T11:00:00.0000000,2026-02-04T12:00:00.0000000,גלית ,yoram@galit.co.il,1,MEETING_OR_AUDIT,0.55,מילות מפתח פגישה ב-subject: ישיבה
יום הולדת לנועה כהן,2026-02-05T12:00:00.0000000,2026-02-05T13:00:00.0000000,,yoram@galit.co.il,0,PERSONAL,0.55,מילות מפתח אישי ב-subject: יום הולדת
,2026-02-05T17:00:00.0000000,2026-02-05T17:30:00.0000000,https://meet.google.com/vtg-bhpu-qyk,david.p@novastrategica.com,2,MEETING_OR_AUDIT,0.35,subject ריק — סיווג מוגבל | מארגן חיצוני (novastrategica.com) — כנראה פגישה חיצונית
אמירה נזאר פגישה,2026-02-11T11:00:00.0000000,2026-02-11T12:00:00.0000000,גלית,yoram@galit.co.il,2,MEETING_OR_AUDIT,0.55,מילות מפתח פגישה ב-subject: פגישה
"פגישת זום | אורי מונרוב + עו""ד איציק נעימי + יורם גבאי . ",2026-02-11T12:30:00.0000000,2026-02-11T13:30:00.0000000,,Uri-m@gus.co.il,3,MEETING_OR_AUDIT,0.7,מילות מפתח פגישה ב-subject: זום | מארגן חיצוני (gus.co.il) — כנראה פגישה חיצונית
"פגישת זום | אורי מונרוב + עו""ד איציק נעימי + יורם גבאי . ",2026-02-11T12:30:00.0000000,2026-02-11T14:00:00.0000000,https://us02web.zoom.us/j/86749980396?pwd=z4egYbEkf14SboFeRwGi99bssgaJje.1,odaniel@caspilaw.com,4,MEETING_OR_AUDIT,0.9,מילות מפתח פגישה ב-subject: זום | רבים משתתפים כולל דומיין חיצוני — פגישה חיצונית | מארגן חיצוני (caspilaw.com) — כנראה פגישה חיצונית
Corrected:‏ English:‏ HN Line Section C EMC Doc Rev.C,2026-02-12T11:30:00.0000000,2026-02-12T12:00:00.0000000,Réunion Microsoft Teams,matthieu.de-chevron-villette@alstomgroup.com,5,MEETING_OR_AUDIT,0.9,"online meeting (Teams/Zoom) → MEETING_OR_AUDIT | location מכיל ""Teams"" → MEETING_OR_AUDIT | רבים משתתפים כולל דומיין חיצוני — פגישה חיצונית | מארגן חיצוני (alstomgroup.com) — כנראה פגישה חיצונית"
סקר אסבסט ,2026-02-12T11:30:00.0000000,2026-02-12T12:30:00.0000000,"חי""ל 11, רמת גן ",uri@galit.co.il,2,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: סקר
בדיקת רעש 24 שעות,2026-02-12T12:30:00.0000000,2026-02-12T13:00:00.0000000,"וינגייט 1, תל אביב",uri@galit.co.il,2,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת רעש
יום עיון לבודקי קרינה,2026-02-15T08:00:00.0000000,2026-02-15T16:00:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
בדיקת קרינה עבור אלון מידן,2026-02-16T18:00:00.0000000,2026-02-16T18:30:00.0000000,גיחון 28 רמת השרון ,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
Yoram Gabay and Gil Gordon,2026-02-17T12:30:00.0000000,2026-02-17T13:15:00.0000000,https://simplex3d.zoom.us/j/89901383477?pwd=JSOI95qsRaDo0LUpouvyLLWXh22Aaf.1,gil@simplex3d.com,2,MEETING_OR_AUDIT,0.35,מארגן חיצוני (simplex3d.com) — כנראה פגישה חיצונית
פאדל,2026-02-18T17:30:00.0000000,2026-02-18T18:45:00.0000000,מלון אכדיה,Guy@galit.co.il,3,MEETING_OR_AUDIT,0.35,
לראות מיגון קרינה,2026-02-23T09:00:00.0000000,2026-02-23T09:30:00.0000000,מתקן התפלה נחל שורק,yoram@galit.co.il,1,FIELD_TASK,0.7,"מילות מפתח שטח ב-subject: מיגון קרינה, מיגון"
הצעת מחיר למיגון אברהם עמרם,2026-02-23T11:00:00.0000000,2026-02-23T12:00:00.0000000,אקווה פארק אשדוד,yoram@galit.co.il,1,FIELD_TASK,0.55,מילות מפתח שטח ב-subject: מיגון | מילות מפתח משרד ב-subject: הצעת מחיר
בדיקת קרינה ELF לאישור מיגון שביצענו באסותא בבאר שבע- מיגון ללוח חשמל ראשי מחלקת MRI,2026-02-23T14:00:00.0000000,2026-02-23T15:00:00.0000000,אסותא בבאר שבע,yoram@galit.co.il,1,FIELD_TASK,0.7,"מילות מפתח שטח ב-subject: בדיקת קרינה, מיגון"
בדיקת קרינה עבור כללית מחדר תקשורת ,2026-02-26T11:30:00.0000000,2026-02-26T12:30:00.0000000,"ירמיהו 38, נתניה.",yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת קרינה
בדיקת קרינה מרשת חשמל - מגדל העמק - בית פרטי של לקוח ,2026-02-26T13:00:00.0000000,2026-02-26T15:00:00.0000000,חבצלת 11 מגדל העמק,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | מילות מפתח משרד ב-subject: לקוח | location מכיל דפוס רחוב+מספר+עיר
אימון פאדל,2026-02-26T17:30:00.0000000,2026-02-26T18:30:00.0000000,אכדיה,Guy@galit.co.il,3,PERSONAL,0.55,מילות מפתח אישי ב-subject: אימון
"פגישת זום עם יועצים - פרויקטים גני ילדים וביה""ס - צמרות דגן.  מועצה מקומית בית דגן",2026-03-04T10:00:00.0000000,2026-03-04T11:00:00.0000000,זום:https://us04web.zoom.us/j/76852950174?pwd=mjcdJ5bawUMzUcTQnEf2sNI1P7Wyqu.1,engineer@beitdagan.muni.il,14,MEETING_OR_AUDIT,0.9,מילות מפתח פגישה ב-subject: זום | מילות מפתח אישי ב-subject: ילדים | רבים משתתפים כולל דומיין חיצוני — פגישה חיצונית | מארגן חיצוני (beitdagan.muni.il) — כנראה פגישה חיצונית
מיגון קרינה 4 חדרי חשמל אשדוד,2026-03-05T07:00:00.0000000,2026-03-05T17:30:00.0000000,אשדוד,yoram@galit.co.il,0,FIELD_TASK,0.7,"מילות מפתח שטח ב-subject: מיגון קרינה, מיגון"
"מיגון קרינה באילת- סמי נופי ובניו בע""מ בתיכון שחמון",2026-03-09T09:00:00.0000000,2026-03-09T16:00:00.0000000,,yoram@galit.co.il,1,FIELD_TASK,0.7,"מילות מפתח שטח ב-subject: מיגון קרינה, מיגון"
זום- תכנון תאום עכו ,2026-03-09T11:00:00.0000000,2026-03-09T12:00:00.0000000,zoom,office@m-s-a.co.il,36,MEETING_OR_AUDIT,0.9,מילות מפתח פגישה ב-subject: זום | מילות מפתח משרד ב-subject: תכנון | רבים משתתפים כולל דומיין חיצוני — פגישה חיצונית | מארגן חיצוני (m-s-a.co.il) — כנראה פגישה חיצונית
בדיקת קרינה ELF מעון שורשים באילת- ליאור אב הבית שיפתח את הגנים-  054-2232592,2026-03-10T11:00:00.0000000,2026-03-10T12:00:00.0000000,ששת הימים 204 אילת,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה ELF במעון חלמותיי,2026-03-10T12:00:00.0000000,2026-03-10T13:00:00.0000000,רחוב עין בוקק 12 אילת,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
"בדיקות קרינה בגן ילדים באילת- מעון קולייר בתוך מתנ""ס קולייר- ELF ",2026-03-10T13:00:00.0000000,2026-03-10T14:00:00.0000000,"מעון קולייר בתוך מתנ""ס קולייר- רחוב צין 1 אילת",yoram@galit.co.il,1,FIELD_TASK,0.4,מילות מפתח אישי ב-subject: ילדים | location מכיל דפוס רחוב+מספר+עיר
יום הולדת של רמי עשור,2026-03-14T00:00:00.0000000,2026-03-15T00:00:00.0000000,,yoram@galit.co.il,0,PERSONAL,0.4,אירוע יום שלם — סביר noise | מילות מפתח אישי ב-subject: יום הולדת
סקר אסבסט סווירי מהנדסים,2026-03-15T11:30:00.0000000,2026-03-15T12:30:00.0000000,"סירקין 24, גבעתיים",uri@galit.co.il,2,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: סקר
לשים גלאים *6 ארוכי טווח* - הרצליה ,2026-03-15T12:30:00.0000000,2026-03-15T13:00:00.0000000,בן גוריון 22 הרצליה,Sasha@galit.co.il,3,FIELD_TASK,0.55,location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה מרשת חשמל + רדיו במשרדים של סודקסו הוד השרון,2026-03-16T10:00:00.0000000,2026-03-16T11:00:00.0000000,החרש 34 הוד השרון,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
סקר אסבסט ,2026-03-19T11:00:00.0000000,2026-03-19T12:00:00.0000000,"דרך הזית 26, בית זית",uri@galit.co.il,2,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: סקר
בדיקת קרינה במשרדי רדוור ELF+ RF עד 30 נקודות מדידה - יש חניה לבודק,2026-03-23T11:00:00.0000000,2026-03-23T12:30:00.0000000,הנחושת 12 תל אביב,yoram@galit.co.il,1,FIELD_TASK,0.9,"מילות מפתח שטח ב-subject: בדיקת קרינה, מדידה | location מכיל דפוס רחוב+מספר+עיר"
בדיקת קרינה ELF עבור גיל לחמנוביץ' - חדר טרפו,2026-03-23T13:00:00.0000000,2026-03-23T14:00:00.0000000,שטריקר 34 תל אביב,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה *משולבת* - רשת חשמל וסלולר - גן ילדים רמת אביב,2026-03-24T14:00:00.0000000,2026-03-24T15:00:00.0000000,ברודצקי 36 תל אביב,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | מילות מפתח אישי ב-subject: ילדים | location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה RF במשרדי העירייה של  מועצה מקומית מזרעה ובספרייה,2026-03-26T11:00:00.0000000,2026-03-26T13:00:00.0000000,מזרעה,yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת קרינה
בדיקת קרינה בטמפו,2026-04-06T10:00:00.0000000,2026-04-06T11:00:00.0000000,טמפו נתניה,yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת קרינה
בדיקת קרינה *משולבת* עבור תאגיד המים - מי ברק - מתקן מים,2026-04-14T09:00:00.0000000,2026-04-14T09:45:00.0000000,מגדל המים בני ברק- פינת גרוסברד,yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת קרינה
בדיקת קרינה ELF עבור אורי מאירי,2026-04-14T15:00:00.0000000,2026-04-14T16:00:00.0000000,"שדרות הציונות 12, פרדס חנה",yoram@galit.co.il,1,FIELD_TASK,0.7,מילות מפתח שטח ב-subject: בדיקת קרינה
בדיקת קרינה ,2026-04-17T10:15:00.0000000,2026-04-17T11:15:00.0000000,בוצר 22 תל מונד,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
"האירוע בוטל: Canceled: יורם and Closer AI, יום א׳ 19 באפר׳ 2026, 9 AM - 9:30 AM (GMT‎+3‎) (yoram@galit.co.il)",2026-04-19T09:00:00.0000000,2026-04-19T09:30:00.0000000,Google Meet (instructions in description),support@closer-live.com,3,MEETING_OR_AUDIT,0.35,אירוע מבוטל | מארגן חיצוני (closer-live.com) — כנראה פגישה חיצונית
איתור ריח עבור כאן תאגיד השידור,2026-04-19T11:30:00.0000000,2026-04-19T14:00:00.0000000,חורי 2 חיפה מגדל הנביאים ,Haim@galit.co.il,4,FIELD_TASK,0.7,location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (4) — יכול להיות צוות שטח
Canceled: בדיקת ריח עבור עומר שלייפר,2026-04-19T15:00:00.0000000,2026-04-19T16:00:00.0000000,יד חנה,Haim@galit.co.il,4,FIELD_TASK,0.35,אירוע מבוטל | צוות פנימי גדול (4) — יכול להיות צוות שטח
יום עיון אסבסט,2026-04-26T07:30:00.0000000,2026-04-26T16:30:00.0000000,,yoram@galit.co.il,0,OFFICE_TASK,0.35,
בדיקת צוות מריחים עבור יצחק טולדנו,2026-04-28T11:00:00.0000000,2026-04-28T13:00:00.0000000,ירושלים 112 צפת,Haim@galit.co.il,4,FIELD_TASK,0.9,"מילות מפתח שטח ב-subject: צוות מריחים, מריחים | location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (4) — יכול להיות צוות שטח"
מפגש העשרה- איגוד היועצים לבניה ירוקה 28.4.2026,2026-04-28T12:00:00.0000000,2026-04-28T13:00:00.0000000,זום ישלח ביום הפגישה; https://meet.google.com/qgp-acub-bcd,office@gbcu.org.il,2,MEETING_OR_AUDIT,0.35,מארגן חיצוני (gbcu.org.il) — כנראה פגישה חיצונית
"בדיקת ריח ע""י צוות מריחים עבור עומר שלייפר ",2026-04-28T15:00:00.0000000,2026-04-28T16:00:00.0000000,יד חנה,Haim@galit.co.il,4,FIELD_TASK,0.8,"מילות מפתח שטח ב-subject: צוות מריחים, מריחים | צוות פנימי גדול (4) — יכול להיות צוות שטח"
יום הולדת של זאב והראל משיח,2026-04-29T00:00:00.0000000,2026-04-30T00:00:00.0000000,,yoram@galit.co.il,0,PERSONAL,0.4,אירוע יום שלם — סביר noise | מילות מפתח אישי ב-subject: יום הולדת
ראיון עבודה לגלעד גרינפלד,2026-05-03T16:00:00.0000000,2026-05-03T16:30:00.0000000,,Guy@galit.co.il,3,OFFICE_TASK,0.2,
בר מצווה של זיו,2026-05-04T07:00:00.0000000,2026-05-04T13:00:00.0000000,,yoram@galit.co.il,1,OFFICE_TASK,0.35,
בדיקת קרינה ELF + RF בדירת מגורים בראש העין- טרום קניה,2026-05-07T15:30:00.0000000,2026-05-07T16:15:00.0000000,שבזי 186 ראש העין,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
כיול מכשיר רע,2026-05-11T16:00:00.0000000,2026-05-11T16:30:00.0000000,"בן ציון גליס 9, פתח תקווה",yoram@galit.co.il,1,UNKNOWN,0,אין signals מספקים — UNKNOWN
Canceled: בדיקת צוות מריחים עבור יצחק טולדנו,2026-05-12T10:00:00.0000000,2026-05-12T11:00:00.0000000,ירושלים 112 צפת,Haim@galit.co.il,4,FIELD_TASK,0.9,"אירוע מבוטל | מילות מפתח שטח ב-subject: צוות מריחים, מריחים | location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (4) — יכול להיות צוות שטח"
"מפגש המשך - הערות הציבור ת""י 5282 שאינם למגורים",2026-05-12T11:30:00.0000000,2026-05-12T12:30:00.0000000,שימו לב לקישור בגוגל מיט; https://meet.google.com/naz-ufbg-equ,office@gbcu.org.il,2,MEETING_OR_AUDIT,0.35,מארגן חיצוני (gbcu.org.il) — כנראה פגישה חיצונית
בדיקת ELF עבור התעשיה האווירית לישראל באתר בלוד - יש אישור כניסה עם הסיטרואן לבוא עם תעודת זהות,2026-05-14T11:00:00.0000000,2026-05-14T12:15:00.0000000,להגיע לשער המערבי,yoram@galit.co.il,1,UNKNOWN,0,אין signals מספקים — UNKNOWN
איסוף 2 גלאים קצרים בבית כנסת ,2026-05-14T13:00:00.0000000,2026-05-14T13:30:00.0000000,הענבים 3 אשדוד,yoram@galit.co.il,1,FIELD_TASK,0.4,מילות מפתח פגישה ב-subject: כנס | location מכיל דפוס רחוב+מספר+עיר
"איסוף גלאי מחדר ממ""ד בבית מגורים",2026-05-14T13:30:00.0000000,2026-05-14T14:00:00.0000000,תרשיש 38 אשדוד,yoram@galit.co.il,1,FIELD_TASK,0.55,location מכיל דפוס רחוב+מספר+עיר
 השלכות קרינה על התכנון - ישיבה תיכונית ,2026-05-18T11:00:00.0000000,2026-05-18T12:00:00.0000000,https://us06web.zoom.us/j/83476701016?pwd=nrH3v0kaVsEE2gtTIgHsp2q1TfTnLp.1,office@zs-pm.co.il,6,MEETING_OR_AUDIT,0.9,מילות מפתח פגישה ב-subject: ישיבה | מילות מפתח משרד ב-subject: תכנון | רבים משתתפים כולל דומיין חיצוני — פגישה חיצונית | מארגן חיצוני (zs-pm.co.il) — כנראה פגישה חיצונית
Canceled: בדיקת צוות מריחים ואיכות אוויר עבור חברת היטאצ'י,2026-05-19T11:00:00.0000000,2026-05-19T13:00:00.0000000,הטוחן  2 קיסריה,Haim@galit.co.il,4,FIELD_TASK,0.9,"אירוע מבוטל | מילות מפתח שטח ב-subject: צוות מריחים, מריחים | location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (4) — יכול להיות צוות שטח"
בדיקת צוות מריחים עבור עומר שלייפר,2026-05-19T15:00:00.0000000,2026-05-19T16:00:00.0000000,הבמבוק לנסוע עד סוף הרחוב יד חנה,Haim@galit.co.il,4,FIELD_TASK,0.8,"מילות מפתח שטח ב-subject: צוות מריחים, מריחים | צוות פנימי גדול (4) — יכול להיות צוות שטח"
הדברה עדנה רב נוף ,2026-05-25T09:00:00.0000000,2026-05-25T12:45:00.0000000,צאלון 6 אודים,yoram@galit.co.il,1,FIELD_TASK,0.55,location מכיל דפוס רחוב+מספר+עיר
בדיקת קרינה מחדר חשמל - אורט מקיף ערבי רמלה,2026-05-26T11:30:00.0000000,2026-05-26T12:00:00.0000000,החשמל 1 רמלה,yoram@galit.co.il,1,FIELD_TASK,0.9,מילות מפתח שטח ב-subject: בדיקת קרינה | location מכיל דפוס רחוב+מספר+עיר
מבדק מכון התקנים,2026-05-27T08:00:00.0000000,2026-05-27T16:00:00.0000000,,yoram@galit.co.il,1,MEETING_OR_AUDIT,0.55,מילות מפתח פגישה ב-subject: מבדק
צוות מריחים - רחוב המלאכה 6 חולון - * יש להתקשר לפני היציאה ללקוח!ֱ!*,2026-05-31T15:00:00.0000000,2026-05-31T17:30:00.0000000,רחוב המלאכה 6 חולון,Sasha@galit.co.il,5,FIELD_TASK,0.9,"מילות מפתח שטח ב-subject: צוות מריחים, מריחים | מילות מפתח משרד ב-subject: לקוח | location מכיל דפוס רחוב+מספר+עיר | צוות פנימי גדול (5) — יכול להיות צוות שטח"
מיגון קרינה חאלד - שלומציון 11 תל אביב,2026-06-01T07:00:00.0000000,2026-06-01T08:30:00.0000000,שלום ציון 11 תל אביב,yoram@galit.co.il,1,FIELD_TASK,0.9,"מילות מפתח שטח ב-subject: מיגון קרינה, מיגון | location מכיל דפוס רחוב+מספר+עיר"
לשים את הלקסוס במוסך,2026-06-01T08:30:00.0000000,2026-06-01T09:30:00.0000000,פתח תקווה,yoram@galit.co.il,1,PERSONAL,0.55,"מילות מפתח אישי ב-subject: מוסך, לקסוס"
מיגון קרינה - חאליד - בו יהודה 213 תל אביב,2026-06-02T07:00:00.0000000,2026-06-02T08:30:00.0000000,בן יהודה 213 תל אביב,yoram@galit.co.il,1,FIELD_TASK,0.9,"מילות מפתח שטח ב-subject: מיגון קרינה, מיגון | location מכיל דפוס רחוב+מספר+עיר"
בדיקת קרינה ELF + RF  4 גני ילדים בקיבוץ גליל ים ,2026-06-03T09:45:00.0000000,2026-06-03T11:15:00.0000000,מזכירות גליל ים,yoram@galit.co.il,1,FIELD_TASK,0.55,מילות מפתח שטח ב-subject: בדיקת קרינה | מילות מפתח אישי ב-subject: ילדים
